ICD-9 Codes for Family Medicine 2011-2012: The FPM Short List
"Note: Codes that include NOS (not otherwise specified) or unspec. (unspecified) have alternative diagnosis codes that are more specific. These alternatives can be found in or near the section of ICD-9-CM that deals with the relevant three-digit codes. The top 100 codes are indicated with a ""Yes"" in the Top 100 column. These codes have been identified by the authors as especially common in family medicine."
"Compiled by Donald Spencer, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill, Philip S. Whitecar, MD, of the Department of Family Medicine, Wright State University, Dayton, Ohio, and Allen Daugird, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill. Author disclosure: no relevant financial affiliations disclosed. "
Printed copies of this list may be purchased through the AAFP online catalog at http://www.aafp.org/shop/fpm/icd9 or by calling the AAFP Contact Center at 800-274-2237. This and the FPM �Long List� can be downloaded from the FPM web site at http://www.aafp.org/fpm/icd9.
Portions copyright � 2011 American Academy of Family Physicians.
Top	Diagnosis
Diagnosis Section Subsection	100		Code	Description
"XI. Pregnancy, Childbirth"			644.21	"Premature labor, delivered"
"XI. Pregnancy, Childbirth"			644.03	"Premature labor, threat., undelivered"
"XI. Pregnancy, Childbirth"			V23.9	"Prenatal care, high risk, unspec."
"XI. Pregnancy, Childbirth"		Yes	V22.0	"Prenatal care, normal, first pregnancy"
"XI. Pregnancy, Childbirth"		Yes	V22.1	"Prenatal care, normal, other pregnancy"
"XI. Pregnancy, Childbirth"			649.5	Spotting in pregnancy
"XI. Pregnancy, Childbirth"			640.00	"Threatened abortion, unspec."
"XI. Pregnancy, Childbirth"			651.00	"Twins, unspec."
"XI. Pregnancy, Childbirth"			646.60	"UTI in pregnancy, unspec."
"XI. Pregnancy, Childbirth"			643.90	"Vomiting of pregnancy, unspec."
"XII. Skin, Subcutaneous Tissue"		Yes	706.1	"Acne, other"
"XII. Skin, Subcutaneous Tissue"			702.0	Actinic keratosis
"XII. Skin, Subcutaneous Tissue"			704.00	"Alopecia, unspec."
"XII. Skin, Subcutaneous Tissue"		Yes	682.9	"Cellulitis/abscess, unspec."
"XII. Skin, Subcutaneous Tissue"		Yes	692.9	"Contact dermatitis, NOS"
"XII. Skin, Subcutaneous Tissue"			700	Corn/callus
"XII. Skin, Subcutaneous Tissue"			691.0	Diaper rash
"XII. Skin, Subcutaneous Tissue"		Yes	691.8	"Eczema, atopic dermatitis"
"XII. Skin, Subcutaneous Tissue"			704.9	"Hair disease, unspec."
"XII. Skin, Subcutaneous Tissue"			704.1	Hirsutism
"XII. Skin, Subcutaneous Tissue"			684	Impetigo
"XII. Skin, Subcutaneous Tissue"			703.0	Ingrown nail
"XII. Skin, Subcutaneous Tissue"			683	"Lymphadenitis, acute"
"XII. Skin, Subcutaneous Tissue"			703.9	"Nail disease, unspec."
"XII. Skin, Subcutaneous Tissue"			110.1	Onychomycosis
"XII. Skin, Subcutaneous Tissue"		Yes	709.9	"Other skin disease, unspec."
"XII. Skin, Subcutaneous Tissue"			696.3	Pityriasis rosea
"XII. Skin, Subcutaneous Tissue"			698.9	"Pruritus, NOS"
"XII. Skin, Subcutaneous Tissue"			696.1	"Psoriasis, NOS"
"XII. Skin, Subcutaneous Tissue"			695.3	Rosacea
"XII. Skin, Subcutaneous Tissue"		Yes	706.2	Sebaceous cyst
"XII. Skin, Subcutaneous Tissue"			690.10	"Seborrheic dermatitis, NOS"
"XII. Skin, Subcutaneous Tissue"			702.19	"Seborrheic keratosis, NOS"
"XII. Skin, Subcutaneous Tissue"			692.71	Sunburn
"XII. Skin, Subcutaneous Tissue"			705.9	"Sweat gland disease, unspec."
"XII. Skin, Subcutaneous Tissue"			111.0	Tinea versicolor
"XII. Skin, Subcutaneous Tissue"			707.9	"Ulcer, skin, chronic, unspec."
"XII. Skin, Subcutaneous Tissue"			708.9	"Urticaria, unspec."
XIII. Musculoskeletal & Connective Tissue			736.9	"Acquired deformity, limb, unspec."
XIII. Musculoskeletal & Connective Tissue			716.10	"Arthropathy, traumatic, unspec."
XIII. Musculoskeletal & Connective Tissue		Yes	716.90	"Arthropathy, unspec."
XIII. Musculoskeletal & Connective Tissue		Yes	724.4	"Back pain w/ radiation, unspec."
XIII. Musculoskeletal & Connective Tissue		Yes	723.9	"Cervical disorder, NOS"
XIII. Musculoskeletal & Connective Tissue			710.9	"Connective tissue disease, unspec."
XIII. Musculoskeletal & Connective Tissue			717.9	"Derangement, knee, internal, unspec."
XIII. Musculoskeletal & Connective Tissue			722.2	"Disc syndrome, no myelopathy, NOS"
XIII. Musculoskeletal & Connective Tissue		Yes	729.1	"Fibromyalgia/myositis, unspec."
XIII. Musculoskeletal & Connective Tissue			727.43	"Ganglion, unspec."
XIII. Musculoskeletal & Connective Tissue			737.9	"Kyphosis/scoliosis, unspec."
XIII. Musculoskeletal & Connective Tissue			728.87	"Muscle weakness, generalized"
XIII. Musculoskeletal & Connective Tissue			721.90	"Osteoarthritis of spine, NOS"
XIII. Musculoskeletal & Connective Tissue		Yes	715.90	"Osteoarthrosis, unspec."
XIII. Musculoskeletal & Connective Tissue			730.00	"Osteomyelitis, acute, unspec."
XIII. Musculoskeletal & Connective Tissue			730.10	"Osteomyelitis, chronic, unspec."
XIII. Musculoskeletal & Connective Tissue			733.00	"Osteoporosis, unspec."
XIII. Musculoskeletal & Connective Tissue		Yes	729.5	Pain in limb
XIII. Musculoskeletal & Connective Tissue			725	Polymyalgia rheumatica
XIII. Musculoskeletal & Connective Tissue			714.0	Rheumatoid arthritis (not JRA)
XIII. Musculoskeletal & Connective Tissue		Yes	726.10	"Rotator cuff/shoulder synd., unspec."
XIII. Musculoskeletal & Connective Tissue		Yes	727.00	"Synovitis/tenosynovitis, unspec."
XIV. Congenital Anomalies			759.9	"Congenital anomaly, other, unspec."
XIV. Congenital Anomalies			746.9	"Congenital heart anomaly, NOS"
XIV. Congenital Anomalies			755.9	"Limb anomaly, unspec."
XIV. Congenital Anomalies			750.5	Pyloric stenosis
XIV. Congenital Anomalies			743.65	"Tear duct, blocked"
XIV. Congenital Anomalies			752.51	Undescended testis
XV. Perinatal (Infant)			768.9	"Birth asphyxia, unspec."
XV. Perinatal (Infant)			767.9	"Birth trauma, unspec."
XV. Perinatal (Infant)			779.31	"Feeding problem, newborn"
XV. Perinatal (Infant)			768.4	"Fetal distress, unspec."
XV. Perinatal (Infant)			770.88	"Hypoxemia, newborn, NOS"
XV. Perinatal (Infant)			774.30	"Jaundice, newborn, unspec."
XV. Perinatal (Infant)			764.00	"Newborn, SGA, weight unspec."
XV. Perinatal (Infant)			779.9	"Perinatal morbidity/mortality, unspec."
XV. Perinatal (Infant)			766.21	Post-term infant
XV. Perinatal (Infant)			765.10	"Preterm infant, weight unspec."
XV. Perinatal (Infant)			769	Respiratory distress syndrome
XV. Perinatal (Infant)			770.9	"Respiratory problem, other, unspec."
XV. Perinatal (Infant)			771.81	"Sepsis, neonatal"
XV. Perinatal (Infant)			778.9	Skin/temperature problem
XV. Perinatal (Infant)			798.0	Sudden infant death syndrome
XV. Perinatal (Infant)			V30.00	"Well newborn, hospital birth, vaginal"
XVI. Signs & Symptoms		Yes	789.00	"Abdominal pain/colic, unspec."
XVI. Signs & Symptoms			790.6	"Abnormal blood chemistry, other"
XVI. Signs & Symptoms			794.31	Abnormal electrocardiogram
XVI. Signs & Symptoms			790.29	"Abnormal glucose, other"
XVI. Signs & Symptoms			795.05	"Abnormal HPV, positive, cervical high risk"
XVI. Signs & Symptoms			793.19	"Abnormal imaging, lung, other"
XVI. Signs & Symptoms		Yes	783.21	Abnormal loss of weight
XVI. Signs & Symptoms		Yes	795.01	"Abnormal Pap, ASC-US"
XVI. Signs & Symptoms			795.02	"Abnormal Pap, ASC, possible HGSIL"
XVI. Signs & Symptoms		Yes	795.00	"Abnormal Pap, glandular, NOS"
XVI. Signs & Symptoms			790.4	Abnormal transaminase/LDH
XVI. Signs & Symptoms			790.09	Abnormalities of RBCs
XVI. Signs & Symptoms			995.0	"Anaphylactic reaction, other"
XVI. Signs & Symptoms			783.0	Anorexia
XVI. Signs & Symptoms			719.40	"Arthralgia, unspec."
XVI. Signs & Symptoms			789.51	"Ascites, malignant"
XVI. Signs & Symptoms			789.59	"Ascites, other"
XVI. Signs & Symptoms			569.3	"Bleeding, rectal"
XVI. Signs & Symptoms			578.1	"Blood in stool, melena"
XVI. Signs & Symptoms			792.1	"Blood in stool, occult"
XVI. Signs & Symptoms		Yes	786.50	"Chest pain, unspec."
XVI. Signs & Symptoms			780.71	Chronic fatigue syndrome
XVI. Signs & Symptoms			338.28	"Chronic pain, other post-op"
XVI. Signs & Symptoms			338.22	"Chronic pain, post-thoracotomy"
XVI. Signs & Symptoms			780.01	"Coma, nondiabetic/nonhepatic"
XVI. Signs & Symptoms		Yes	786.2	Cough
XVI. Signs & Symptoms			780.92	"Crying, infant, excessive"
XVI. Signs & Symptoms		Yes	787.91	"Diarrhea, NOS"
XVI. Signs & Symptoms		Yes	780.4	"Dizziness/vertigo, NOS"
XVI. Signs & Symptoms			787.20	"Dysphagia, unspec."
XVI. Signs & Symptoms		Yes	788.1	Dysuria
XVI. Signs & Symptoms		Yes	782.3	"Edema, localized, NOS"
XVI. Signs & Symptoms			719.00	"Effusion/swelling of joint, unspec."
XVI. Signs & Symptoms			784.7	Epistaxis
XVI. Signs & Symptoms			783.41	"Failure to thrive, child"
XVI. Signs & Symptoms		Yes	780.79	"Fatigue and malaise, other"
XVI. Signs & Symptoms			787.60	"Fecal incontinence, full"
XVI. Signs & Symptoms			783.3	"Feeding problem, infant/elderly"
XVI. Signs & Symptoms		Yes	780.60	"Fever, unspec."
XVI. Signs & Symptoms			787.3	Gas/bloating
XVI. Signs & Symptoms			791.5	Glycosuria
XVI. Signs & Symptoms		Yes	784.0	"Headache, unspec."
XVI. Signs & Symptoms			787.1	Heartburn
XVI. Signs & Symptoms			578.0	Hematemesis
XVI. Signs & Symptoms			786.30	"Hemoptysis, unspecified"
XVI. Signs & Symptoms			789.1	Hepatomegaly
XVI. Signs & Symptoms			786.8	Hiccups
XVI. Signs & Symptoms			"784.42
"	Hoarseness
XVI. Signs & Symptoms			306.1	Hyperventilation
XVI. Signs & Symptoms			799.02	Hypoxemia
XVI. Signs & Symptoms			788.30	"Incontinence/enuresis, NOS"
XVI. Signs & Symptoms			783.40	"Lack of normal physiological development, unspec."
XVI. Signs & Symptoms			799.81	"Libido, decreased"
XVI. Signs & Symptoms			782.2	"Localized swelling/mass, superficial"
XVI. Signs & Symptoms			785.6	"Lymph nodes, enlarged"
XVI. Signs & Symptoms			793.80	"Mammogram, abnormal, unspec."
XVI. Signs & Symptoms			780.93	Memory loss
XVI. Signs & Symptoms			780.02	Mental status changes
XVI. Signs & Symptoms			785.2	"Murmur of heart, undiagnosed"
XVI. Signs & Symptoms		Yes	787.01	Nausea w/ vomiting
XVI. Signs & Symptoms			787.02	"Nausea, alone"
XVI. Signs & Symptoms			788.43	Nocturia
XVI. Signs & Symptoms			799.89	Other ill-defined conditions
XVI. Signs & Symptoms			338.4	"Pain syndrome, chronic"
XVI. Signs & Symptoms			338.21	"Pain, chronic, due to trauma"
XVI. Signs & Symptoms			338.29	"Pain, chronic, other"
XVI. Signs & Symptoms		Yes	719.46	"Pain, knee"
XVI. Signs & Symptoms		Yes	724.2	"Pain, low back"
XVI. Signs & Symptoms			338.3	"Pain, neoplasm related"
XVI. Signs & Symptoms		Yes	785.1	Palpitations
XVI. Signs & Symptoms			788.42	Polyuria
XVI. Signs & Symptoms			791.0	"Proteinuria, nonpostural, nonobstetric"
XVI. Signs & Symptoms		Yes	782.1	"Rash, nonvesicular, unspec."
XVI. Signs & Symptoms			780.39	"Seizures, convulsions, other"
XVI. Signs & Symptoms			780.31	"Seizures, simple, febrile, unspec."
XVI. Signs & Symptoms			780.09	"Semicoma, stupor"
XVI. Signs & Symptoms			782.0	Sensory disturbance skin
XVI. Signs & Symptoms			785.50	"Shock, unspec."
XVI. Signs & Symptoms		Yes	786.05	Shortness of breath
XVI. Signs & Symptoms			782.9	"Skin, other symptoms"
XVI. Signs & Symptoms			789.2	Splenomegaly
XVI. Signs & Symptoms			780.8	"Sweating, excessive"
XVI. Signs & Symptoms			780.2	Syncope
XVI. Signs & Symptoms		Yes	788.41	Urinary frequency
XVI. Signs & Symptoms			788.63	Urinary urgency
XVI. Signs & Symptoms			787.03	"Vomiting, alone"
XVI. Signs & Symptoms			719.7	Walking difficulty
XVI. Signs & Symptoms			786.07	Wheezing
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		839.8	"Dislocation: other, closed, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		831.00	"Dislocation: shoulder, closed, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		836.2	"Knee meniscus injury, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"	Yes	845.00	"Sprain/strain: ankle, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		845.10	"Sprain/strain: foot, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		842.10	"Sprain/strain: hand, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"	Yes	844.9	"Sprain/strain: knee/leg, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"	Yes	847.0	"Sprain/strain: neck, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		848.9	"Sprain/strain: other site, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"	Yes	840.9	"Sprain/strain: shoulder/arm, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		847.9	"Sprain/strain: vertebral, unspec."
XVII. Injuries & Adverse Effects	"Dislocations, Sprains & Strains"		842.00	"Sprain/strain: wrist, unspec."
XVII. Injuries & Adverse Effects	Fracture		733.94	"Fracture, stress: metatarsals"
XVII. Injuries & Adverse Effects	Fracture		733.95	"Fracture, stress: other bone"
XVII. Injuries & Adverse Effects	Fracture		733.93	"Fracture, stress: tibia or fibula"
XVII. Injuries & Adverse Effects	Fracture		824.8	"Fracture: ankle, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		814.00	"Fracture: carpal, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		810.00	"Fracture: clavicle, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		820.8	"Fracture: femur/hip, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		821.01	"Fracture: femur/shaft, closed"
XVII. Injuries & Adverse Effects	Fracture		823.81	"Fracture: fibula, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		825.20	"Fracture: foot, closed, unspec. (not toes)"
XVII. Injuries & Adverse Effects	Fracture		813.80	"Fracture: forearm, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		812.20	"Fracture: humerus, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		802.20	"Fracture: mandible, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		815.00	"Fracture: metacarpal, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		802.0	"Fracture: nose, closed"
XVII. Injuries & Adverse Effects	Fracture		829.0	"Fracture: other sites, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		808.8	"Fracture: pelvic, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		826.0	"Fracture: phalanges, foot, closed"
XVII. Injuries & Adverse Effects	Fracture		816.00	"Fracture: phalanges, hand, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		807.00	"Fracture: ribs, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		803.00	"Fracture: skull, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		823.80	"Fracture: tibia, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		823.82	"Fracture: tibia/fibula, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		805.8	"Fracture: vertebral, closed, unspec."
XVII. Injuries & Adverse Effects	Fracture		V67.4	"Healed fracture, follow-up exam"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		919.0	"Abrasion, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		995.81	Adult physical abuse
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		949.0	"Burn, degree unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		995.50	"Child abuse, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		991.9	"Cold injury, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		850.9	"Concussion, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"	Yes	924.9	"Contusion, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		929.9	"Crushing injury, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		994.4	Exhaustion due to exposure
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		938	"Foreign body, digestive system, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		931	"Foreign body, ear"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		932	"Foreign body, nose"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		919.6	"Foreign body, skin, superficial, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		E922.9	"Gunshot wound, NOS"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		854.00	"Head injury, NOS"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		992.9	"Heat injury, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		919.4	Insect bite
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		908.9	"Late effects of injury, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		995.20	"Medication, adverse effects, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		879.8	"Open wound, head/neck/trunk, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		894.0	"Open wound, lower limb, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		884.0	"Open wound, upper limb, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		959.9	"Other trauma, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		977.9	"Poisoning, medicine overdose, unspec."
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		989.9	"Poisoning, nonmedicinal substance"
XVII. Injuries & Adverse Effects	"Other Trauma, Adverse Effects"		V71.5	Rape
XVIII. Supplemental Classification			V68.9	"Administrative, other, unspec."
XVIII. Supplemental Classification			V65.40	"Advice/health instruction, NOS"
XVIII. Supplemental Classification			V58.61	"Anticoagulant therapy, long term"
XVIII. Supplemental Classification			V61.49	Caring for family/household member
XVIII. Supplemental Classification			V13.22	"Cervical dysplasia, past history"
XVIII. Supplemental Classification			V50.2	"Circumcision, routine"
XVIII. Supplemental Classification			V25.09	Contraception advice
XVIII. Supplemental Classification			V25.9	"Contraception management, unspec."
XVIII. Supplemental Classification		Yes	V25.40	"Contraception surveillance, unspec."
XVIII. Supplemental Classification			V25.5	"Contraception, Norplant insertion"
XVIII. Supplemental Classification			V25.01	"Contraception, oral"
XVIII. Supplemental Classification		Yes	V25.02	"Contraception, other (diaphragm, etc.)"
XVIII. Supplemental Classification			V61.10	"Counseling for marital and partner problems, unspec."
XVIII. Supplemental Classification			V61.20	"Counseling for parent/child problems, unspec."
XVIII. Supplemental Classification			V68.01	Disability exam
XVIII. Supplemental Classification			V49.86	Do not resuscitate status
XVIII. Supplemental Classification			V60.2	Economic problem
XVIII. Supplemental Classification			V62.3	Educational problem
XVIII. Supplemental Classification			V01.9	"Exposure to infectious disease, unspec."
XVIII. Supplemental Classification			V01.6	Exposure to venereal disease
XVIII. Supplemental Classification			V15.88	"Falls: risk for, history of"
XVIII. Supplemental Classification			V61.09	"Family disruption, other"
XVIII. Supplemental Classification			V61.9	"Family problem, other, unspec."
XVIII. Supplemental Classification			V67.00	"Follow-up exam, surgery, unspec."
XVIII. Supplemental Classification			V68.09	"Form, other"
XVIII. Supplemental Classification		Yes	V72.31	Gynecological exam
XVIII. Supplemental Classification		Yes	V58.69	"High-risk medication, long-term use"
XVIII. Supplemental Classification			V60.0	Housing problem/homeless
XVIII. Supplemental Classification			V06.8	"Immunization, combination, other"
XVIII. Supplemental Classification			V06.9	"Immunization, combination, unspec."
XVIII. Supplemental Classification			V06.1	"Immunization, DTP"
XVIII. Supplemental Classification		Yes	V04.81	"Immunization, influenza"
XVIII. Supplemental Classification			V05.9	"Immunization, single, unspec."
XVIII. Supplemental Classification			V62.5	Legal problem
XVIII. Supplemental Classification			V71.81	"Observation, suspected abuse & neglect"
XVIII. Supplemental Classification			V65.11	"Pediatric pre-birth visit, expectant parent(s)"
XVIII. Supplemental Classification			V65.19	Person consulting on behalf of another
XVIII. Supplemental Classification			V72.84	"Pre-op exam, unspec."
XVIII. Supplemental Classification			V61.3	Problem w/ aged parents or in-laws
XVIII. Supplemental Classification			V62.9	"Psychosocial problem, unspec."
XVIII. Supplemental Classification			V68.81	Referral w/o exam
XVIII. Supplemental Classification			V76.51	"Screening, cancer, colon"
XVIII. Supplemental Classification			V76.9	"Screening, cancer, unspec."
XVIII. Supplemental Classification			V81.0	"Screening, cardiac disease"
XVIII. Supplemental Classification			V77.1	"Screening, diabetes"
XVIII. Supplemental Classification			V77.91	"Screening, lipoid disorders"
XVIII. Supplemental Classification			V76.44	"Screening, PSA"
XVIII. Supplemental Classification			V82.9	"Screening, unspec."
XVIII. Supplemental Classification			V62.4	Social maladjustment
XVIII. Supplemental Classification			V25.2	Sterilization
XVIII. Supplemental Classification			V58.31	Surgical wound dressing
XVIII. Supplemental Classification			V58.32	Suture removal
XVIII. Supplemental Classification		Yes	V70.0	Well adult exam
XVIII. Supplemental Classification		Yes	V20.2	Well child check
